,PRECIO_UNITARIO,COSTO_UNITARIO,COSTO_UNITARIO_CALCULADO,MARGEN_TOTAL_CALCULADO
1004,562.5,0.0,102.31,920.37
1005,813.1,260.2,260.2,1105.81
1006,764.39,137.83,137.83,5639.02
1007,941.77,203.69,203.69,738.08
1008,669.35,126.54,126.54,542.81
1009,863.0,68.35,68.35,1589.3
1010,1045.31,388.11,388.11,657.2
1011,901.5,68.35,68.35,1666.3
1012,1064.0,330.66,330.66,2200.01
1013,1475.3,331.61,331.61,22873.85
1014,3730.0,1388.82,1388.82,2341.18
1015,485.0,144.4,144.4,340.6
1016,2278.45,0.0,436.59,3683.72
1017,817.89,0.0,176.15,641.74
1018,385.0,253.0,253.0,132.0
1019,386.0,77.13,77.13,3088.71
1020,1784.35,0.0,112.39,5015.87
1021,657.58,107.5,107.5,2200.34
1022,779.5,158.36,158.36,2484.55
1023,435.72,265.64,265.64,340.17
1024,350.41,125.68,125.68,449.46
1025,327.59,57.6,57.6,269.99
1026,1250.0,0.0,170.16,10798.38
1027,462.0,253.0,253.0,209.0
1028,596.0,0.0,28.41,567.59
1029,699.5,286.59,286.59,4129.13
1030,799.1,168.4,168.4,1892.09
1031,150.0,78.65,78.65,998.88
1032,500.0,265.64,265.64,1406.18
1033,960.34,91.4,91.4,868.94
1034,772.0,0.0,13.33,758.67
1035,4972.3,0.0,1139.58,3832.72
1036,1385.0,0.0,281.46,1103.54
1037,1848.9,406.12,406.12,1442.78
1038,1209.8,0.0,341.41,1736.78
1039,345.0,0.0,348.92,-7.83
1040,528.89,0.0,68.25,921.28
1041,999.91,226.23,226.23,773.68
1042,999.91,226.23,226.23,773.68
1043,2186.0,955.68,955.68,2460.64
1044,264.0,97.49,97.49,166.51
1045,2660.9,0.0,896.15,1764.75
1046,22417.6,0.0,9353.62,13063.98
1047,155.0,78.65,78.65,76.35
1048,899.0,0.0,197.53,701.47
1049,556.7,0.0,72.88,483.82
1050,1103.45,0.0,400.95,702.5
1051,930.0,0.0,159.65,770.35
1052,845.29,0.0,369.66,1426.9
1053,2465.0,0.0,585.2,3759.61
1054,705.5,130.97,130.97,1723.59
1055,705.5,0.0,143.89,3369.69
1056,918.0,0.0,502.32,2494.06
1057,915.0,0.0,239.08,675.92
1058,715.65,0.0,103.21,1837.32
1059,515.0,0.0,182.6,1329.6
1060,2375.5,438.39,438.39,3874.21
1061,2080.85,523.53,523.53,1557.32
1062,1899.18,164.55,164.55,1734.63
1063,3298.28,33387.05,33387.05,-30088.77
1064,150.0,78.65,78.65,71.35
1065,442.75,253.0,253.0,189.75
1066,462.0,220.0,220.0,242.0
1067,1165.95,345.97,345.97,819.98
1068,1165.95,0.0,345.97,819.98
1069,763.0,0.0,71.72,2765.1
1070,845.0,0.0,167.31,2710.76
1071,1615.0,685.68,685.68,929.32
1072,1615.0,685.68,685.68,929.32
